"title";"uri";"id";"uri_data_http://dbpedia.org/ontology/releaseDate";"uri_data_http://dbpedia.org/ontology/Work/runtime";"uri_data_http://dbpedia.org/ontology/wikiPageRevisionID";"uri_data_http://dbpedia.org/ontology/runtime";"uri_data_http://dbpedia.org/ontology/budget";"uri_data_http://dbpedia.org/ontology/wikiPageID";"uri_data_http://dbpedia.org/ontology/gross"
"Baby, The (1973)";"http://dbpedia.org/resource/The_Baby_(film)";3280.0;;85.0;6.01064785E8;5100.0;;2.552953E7;
"Different for Girls (1996)";"http://dbpedia.org/resource/Different_for_Girls";3282.0;9/12/97 12:00 AM;96.0;5.9657762E8;5760.0;;3570614.0;300645.0
"They Might Be Giants (1971)";"http://dbpedia.org/resource/They_Might_Be_Giants_(film)";3284.0;;98.0;6.0071485E8;5880.0;;1615582.0;
"Minnie and Moskowitz (1971)";"http://dbpedia.org/resource/Minnie_and_Moskowitz";3283.0;;114.0;5.98759891E8;6840.0;;5882475.0;
"Snow Day (2000)";"http://dbpedia.org/resource/Snow_Day_(film)";3286.0;2/11/00 12:00 AM;89.0;5.99618145E8;5340.0;1.3E7;1712963.0;6.2464731E7
"Beach, The (2000)";"http://dbpedia.org/resource/The_Beach_(film)";3285.0;;115.0;6.06647993E8;6900.0;5.0E7;4802267.0;1.54056873E8
"Cotton Mary (1999)";"http://dbpedia.org/resource/Cotton_Mary";3288.0;12/17/99 12:00 AM;124.0;5.92971606E8;7440.0;;6080132.0;
"Tigger Movie, The (2000)";"http://dbpedia.org/resource/The_Tigger_Movie";3287.0;;78.0;6.06380295E8;4680.0;3.0E7;94028.0;9.61598E7
"Gendernauts (1999)";"http://dbpedia.org/resource/Gendernauts";3278.0;;86.0;5.85260092E8;5160.0;;3.4169742E7;
"Secret Garden, The (1993)";"http://dbpedia.org/resource/The_Secret_Garden_(1993_film)";531.0;;102.0;6.04474572E8;6120.0;;1136182.0;3.1181347E7
"Knockout (1999)";"http://dbpedia.org/resource/Knockout_(2011_film)";3279.0;;91.0;6.04438649E8;5460.0;1000000.0;3.1705653E7;
"Second Best (1994)";"http://dbpedia.org/resource/Second_Best_(film)";530.0;9/30/93 12:00 AM;;5.87635361E8;;;9628464.0;
"Blue Lagoon, The (1980)";"http://dbpedia.org/resource/The_Blue_Lagoon_(1980_film)";2950.0;;104.0;6.06286807E8;6240.0;4500000.0;1134919.0;5.8853106E7
"Short Cuts (1993)";"http://dbpedia.org/resource/Short_Cuts";535.0;;188.0;6.06550327E8;11280.0;;676038.0;6110979.0
"Object of My Affection, The (1998)";"http://dbpedia.org/resource/The_Object_of_My_Affection";1821.0;4/17/98 12:00 AM;111.0;5.95701665E8;6660.0;1.5E7;290633.0;4.6905889E7
"Home Alone 2: Lost in New York (1992)";"http://dbpedia.org/resource/Home_Alone_2:_Lost_in_New_York";2953.0;;120.0;6.06528292E8;7200.0;2.0E7;294998.0;3.5899485E8
"Shadowlands (1993)";"http://dbpedia.org/resource/Shadowlands_(film)";534.0;;131.0;5.95705709E8;7860.0;2.2E7;1633134.0;2.5842377E7
"Meet the Deedles (1998)";"http://dbpedia.org/resource/Meet_the_Deedles";1822.0;;93.0;6.00181142E8;5580.0;2.4E7;8509794.0;4356216.0
"Shadow, The (1994)";"http://dbpedia.org/resource/The_Shadow_(1994_film)";533.0;;108.0;5.99546144E8;6480.0;4.0E7;5991505.0;4.8063435E7
"Penitentiary II (1982)";"http://dbpedia.org/resource/Penitentiary_II";2955.0;;108.0;5.80207607E8;6480.0;;3.5826458E7;3178542.0
