Mission: Impossible (1996),Total Recall (1990),Gladiator (2000),X-Men (2000),"Hunt for Red October, The (1990)",Terminator 2: Judgment Day (1991),Heat (1995),Demolition Man (1993),"Rock, The (1996)",Speed (1994),Enemy of the State (1998),Star Wars: Episode V - The Empire Strikes Back (1980)
7,4,5,3,3,5,5,4,4,5,3,5,5
18,4,3,4,5,0,5,0,0,0,2,0,5
24,3,0,0,0,0,0,0,0,0,0,0,0
31,5,0,0,0,0,0,0,0,0,0,0,0
37,4,0,0,0,0,0,0,0,0,4,0,0
85,3,0,3,3,0,0,0,0,0,0,0,0
86,5,0,0,0,0,0,0,0,0,0,0,0
127,4,4,5,3,0,5,0,0,5,4,0,5
143,5,1,5,0,5,0,0,0,4,0,3,0
157,4,4,0,0,4,3,4,2,4,4,0,5
181,4,4,5,0,4,4,4,4,3,3,0,5
198,4,4,0,5,5,5,0,0,0,5,5,5
218,2,0,5,5,0,0,0,0,0,0,0,0
221,3,0,0,0,0,0,0,0,0,0,0,0
224,2,1,3,5,0,4,0,0,0,0,0,5
263,3,5,0,2,0,4,0,0,5,0,0,4
264,3,3,0,3,5,3,0,2,0,3,2,4
283,5,0,0,0,0,0,0,0,0,0,0,0
321,3,4,3,4,0,4,0,0,0,1,4,5
360,3,0,0,0,0,0,0,0,0,0,0,4
363,3,0,0,0,0,0,0,0,0,0,0,0
368,5,3,4,4,4,3,5,0,3,4,4,0
372,5,0,0,4,4,4,0,0,5,5,5,5
403,5,0,5,3,5,0,0,4,5,3,5,5
404,4,0,3,0,0,0,0,0,0,0,0,0
426,4,4,5,3,4,5,5,0,4,4,3,5
474,3,0,3,4,5,5,4,3,0,0,0,0
501,5,0,5,4,0,3,0,0,0,0,0,0
524,4,4,4,0,3,0,5,3,4,4,3,5
549,3,5,3,5,4,5,5,2,4,5,5,5
604,2,5,4,3,0,5,3,3,4,5,0,3
611,4,0,3,4,0,5,0,0,0,0,0,0
618,2,0,4,0,0,4,0,0,0,0,0,4
674,2,4,0,0,5,4,2,0,0,0,0,5
714,5,4,5,5,0,4,0,4,5,5,5,5
720,3,2,5,0,4,0,0,0,3,0,0,4
724,3,4,0,0,4,4,3,0,4,4,4,0
740,3,0,0,0,0,5,0,0,0,0,0,0
757,4,4,0,4,4,5,0,0,4,4,5,5
788,2,3,0,4,0,3,0,3,0,3,0,5
793,4,0,0,0,0,0,0,0,0,0,0,5
807,3,0,0,5,0,0,0,0,0,0,0,0
853,4,3,0,0,4,4,0,0,4,0,0,5
894,4,0,5,0,5,0,0,0,0,0,0,5
922,5,4,4,4,3,4,4,0,5,3,3,0
929,4,4,0,3,5,5,5,0,1,1,0,4
938,3,0,0,0,0,0,0,0,0,0,0,0
948,1,3,3,3,0,3,0,1,0,0,0,5
949,4,5,4,4,5,5,3,4,5,4,3,5
959,3,0,5,0,4,0,0,0,5,3,4,0
970,4,3,3,4,5,3,4,3,4,5,3,4
979,5,0,0,0,5,0,0,0,4,4,0,4
996,4,5,4,5,4,4,4,4,4,3,4,5
1019,2,0,1,0,4,4,3,0,0,1,0,4
1030,4,3,4,4,4,0,0,0,3,4,5,5
1060,5,2,5,3,0,4,0,2,5,2,0,0
1084,3,0,4,0,3,4,3,0,3,4,3,0
1090,4,0,0,0,0,4,0,0,0,0,0,0
1105,1,2,4,0,4,5,0,0,3,4,3,4
1120,2,3,0,4,5,3,0,0,3,0,0,4
1139,3,0,4,3,5,0,0,0,0,4,3,0
1168,3,0,3,0,0,0,0,4,0,4,0,0
1172,5,0,4,0,0,0,0,0,5,4,0,2
1184,5,3,0,0,4,2,0,0,0,0,3,4
1203,4,4,4,3,4,4,0,0,4,4,3,4
1220,4,0,5,3,2,0,0,0,4,2,4,2
1264,3,4,4,4,3,4,4,1,4,3,2,5
1290,4,0,5,4,0,0,0,0,0,0,0,0
1298,3,4,0,0,4,5,0,4,4,4,0,5
1301,3,4,5,4,5,5,4,0,1,4,3,5
1354,4,5,4,5,0,3,0,4,3,2,0,5
1356,2,3,0,0,1,2,4,1,1,2,1,4
1358,3,4,0,0,4,4,0,2,4,3,4,3
1377,2,3,0,0,4,5,0,0,3,4,3,4
1389,3,4,5,3,5,5,3,0,3,5,0,5
1420,3,4,3,0,4,5,4,0,2,3,0,5
1447,3,4,3,3,5,5,5,1,5,3,4,5
1451,4,5,3,3,5,5,4,3,0,3,0,5
1516,5,3,0,0,3,3,0,4,5,5,0,0
1524,4,0,5,5,0,0,0,0,0,0,0,5
1529,3,0,0,0,0,0,0,0,5,0,0,0
1552,3,4,0,0,4,5,2,0,4,5,0,4
1570,3,0,0,0,0,0,0,0,0,0,0,0
1579,4,4,3,4,4,4,3,2,3,4,2,5
1593,3,4,3,2,0,4,3,0,0,0,0,0
1601,4,5,5,4,5,5,5,4,4,5,4,5
1606,5,4,4,3,5,3,0,3,5,5,5,0
1609,4,0,4,0,0,0,4,0,4,3,0,0
1640,2,2,3,3,4,5,3,4,4,4,3,0
1655,2,0,5,4,0,4,4,0,4,4,0,4
1658,3,4,0,4,4,3,0,0,0,4,4,5
1675,3,3,0,4,4,5,0,4,4,4,0,4
1680,2,2,0,0,4,5,1,3,4,2,4,5
1698,3,2,3,5,4,5,3,2,3,3,4,5
1714,2,3,0,0,0,4,0,2,0,0,0,3
1724,4,0,0,0,0,3,0,0,0,0,0,5
1759,4,4,5,4,0,0,0,0,0,0,0,0
1764,5,5,0,5,5,5,5,5,5,4,4,5
1854,3,0,5,0,3,0,0,0,3,0,0,4
1912,2,1,1,0,1,3,4,0,0,3,0,4
1937,1,0,0,0,3,0,0,0,0,4,0,5
2012,3,3,4,3,5,5,0,4,2,3,0,5
2015,3,5,2,4,2,5,2,4,3,2,2,5
2020,2,5,4,2,5,5,0,4,3,4,3,3
2047,4,0,4,4,0,0,0,0,3,0,0,5
2050,3,0,3,0,0,5,0,0,0,0,0,4
2071,2,3,3,0,5,3,0,0,3,3,4,4
2088,5,4,5,0,0,5,0,4,4,0,0,5
2114,4,0,5,4,0,5,0,0,5,0,3,5
2116,5,4,5,5,5,5,4,3,4,5,4,5
2166,4,0,5,3,0,4,0,3,5,5,0,0
2195,4,0,0,4,0,0,0,0,0,0,0,5
2232,4,4,4,4,5,3,4,0,3,3,4,5
2291,4,0,0,0,0,0,0,0,0,0,0,0
2319,4,0,0,0,0,0,0,0,4,0,0,4
2353,3,0,0,0,0,0,0,0,0,0,0,0
2415,4,0,0,0,0,0,0,0,0,0,0,0
2438,4,0,5,3,5,5,0,0,0,4,0,0
2453,4,4,4,0,5,5,0,1,4,3,4,4
2491,4,4,0,0,5,5,0,0,5,0,4,5
2494,3,0,0,0,0,0,0,0,0,0,0,0
2502,2,0,0,0,0,0,0,0,0,0,0,0
2555,2,0,0,0,0,0,0,0,0,0,0,5
2682,2,0,0,0,0,0,0,0,0,0,0,0
2692,5,5,0,0,4,5,0,0,4,0,4,0
2748,2,3,3,5,2,4,0,1,1,1,2,5
2761,4,4,4,4,4,5,4,0,3,4,4,5
2777,4,4,4,0,4,5,4,4,4,4,4,4
2804,4,3,0,0,0,0,0,4,5,4,4,5
2808,4,0,5,5,0,4,0,0,4,0,0,5
2887,5,5,5,5,5,5,5,3,3,3,4,5
2890,4,5,4,4,5,0,0,0,0,5,0,5
2896,4,4,5,0,4,4,0,4,4,4,0,5
2900,4,3,5,5,5,4,4,0,4,4,4,5
2907,5,2,4,0,0,4,0,5,5,5,3,4
2926,4,0,5,3,3,0,0,0,3,4,4,0
2938,4,5,0,4,5,0,0,0,0,4,2,4
2966,3,0,0,0,0,5,0,0,5,3,4,3
2994,4,4,0,0,4,4,4,3,3,0,3,3
3000,1,2,0,3,0,4,0,0,5,0,0,4
3014,3,4,4,0,0,4,0,0,0,0,0,0
3056,4,4,0,5,5,5,0,3,3,0,4,4
3057,3,0,5,2,0,3,0,0,0,0,0,3
3108,4,3,5,0,5,5,4,0,3,4,3,4
3112,3,0,0,0,4,0,0,0,0,0,0,3
3121,4,4,0,0,3,5,3,0,4,4,4,0
3202,3,0,5,3,3,5,0,0,4,4,4,0
3322,5,0,0,0,0,0,5,0,0,0,0,0
3326,4,0,0,0,0,0,0,0,0,0,0,0
3353,4,0,0,0,5,5,0,0,4,4,4,5
3372,5,0,0,0,0,0,0,0,0,0,0,0
3389,3,3,4,4,4,4,4,2,2,4,2,5
3391,4,5,5,4,5,5,4,3,4,3,4,5
3400,4,5,5,0,5,3,0,0,4,4,5,5
3401,4,5,0,4,4,4,0,0,5,4,3,5
3469,3,4,4,0,5,5,0,3,3,4,0,5
3526,2,2,2,5,4,5,3,3,2,5,2,0
3592,4,0,5,0,0,0,0,0,0,0,0,0
3618,3,3,4,3,4,3,3,0,3,4,3,0
3625,4,0,5,0,4,4,5,4,0,0,4,0
3626,3,3,5,5,4,5,3,3,5,4,4,0
3691,4,4,5,5,4,5,5,3,3,0,4,0
3716,4,3,5,4,3,4,5,4,4,2,4,0
3726,3,3,0,4,4,5,3,0,4,4,3,0
3778,3,3,0,0,4,4,5,3,4,5,3,0
3841,1,4,0,0,4,4,2,3,2,2,4,0
3847,3,2,4,0,4,3,0,0,3,0,3,0
3900,4,3,0,0,3,4,4,3,4,3,5,0
