,0,1,2,3,4,5,6,7,8,9
Mission: Impossible (1996),Mission: Impossible (1996),"Rock, The (1996)",True Lies (1994),Men in Black (1997),Con Air (1997),Air Force One (1997),Twister (1996),Die Hard: With a Vengeance (1995),Patriot Games (1992),Batman Returns (1992)
Total Recall (1990),Total Recall (1990),Terminator 2: Judgment Day (1991),"Matrix, The (1999)",Men in Black (1997),Star Wars: Episode V - The Empire Strikes Back (1980),Jurassic Park (1993),"Fifth Element, The (1997)",Alien (1979),"Fugitive, The (1993)",Aliens (1986)
Gladiator (2000),Gladiator (2000),"Matrix, The (1999)",Braveheart (1995),X-Men (2000),"Sixth Sense, The (1999)",Terminator 2: Judgment Day (1991),Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)",American Beauty (1999),"Patriot, The (2000)"
X-Men (2000),X-Men (2000),"Matrix, The (1999)",Gladiator (2000),Terminator 2: Judgment Day (1991),Star Wars: Episode V - The Empire Strikes Back (1980),Total Recall (1990),Jurassic Park (1993),Gattaca (1997),Men in Black (1997),Star Wars: Episode I - The Phantom Menace (1999)
"Hunt for Red October, The (1990)","Hunt for Red October, The (1990)","Fugitive, The (1993)",Patriot Games (1992),Speed (1994),"Matrix, The (1999)",In the Line of Fire (1993),Enemy of the State (1998),Total Recall (1990),True Lies (1994),Clear and Present Danger (1994)
Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day (1991),"Matrix, The (1999)",Total Recall (1990),Jurassic Park (1993),Star Wars: Episode V - The Empire Strikes Back (1980),Men in Black (1997),"Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Alien (1979)
Heat (1995),Heat (1995),Ronin (1998),In the Line of Fire (1993),Speed (1994),GoodFellas (1990),Die Hard 2 (1990),Out of Sight (1998),Casino (1995),"Untouchables, The (1987)","Fugitive, The (1993)"
Demolition Man (1993),Demolition Man (1993),Judge Dredd (1995),Timecop (1994),Stargate (1994),Mars Attacks! (1996),Armageddon (1998),"Fifth Element, The (1997)",Back to the Future Part III (1990),Total Recall (1990),Lost in Space (1998)
"Rock, The (1996)","Rock, The (1996)",Con Air (1997),Speed (1994),Mission: Impossible (1996),Clear and Present Danger (1994),Air Force One (1997),Patriot Games (1992),"Fugitive, The (1993)",True Lies (1994),Die Hard 2 (1990)
Speed (1994),Speed (1994),"Fugitive, The (1993)","Rock, The (1996)","Hunt for Red October, The (1990)",Die Hard 2 (1990),Patriot Games (1992),True Lies (1994),Con Air (1997),In the Line of Fire (1993),"Matrix, The (1999)"
Enemy of the State (1998),Enemy of the State (1998),"Hunt for Red October, The (1990)","Rock, The (1996)","Fugitive, The (1993)",Speed (1994),Clear and Present Danger (1994),Patriot Games (1992),Die Hard 2 (1990),Face/Off (1997),Mission: Impossible (1996)
Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Back to the Future (1985),Terminator 2: Judgment Day (1991),Aliens (1986),Indiana Jones and the Last Crusade (1989),"Princess Bride, The (1987)"
"Matrix, The (1999)","Matrix, The (1999)",Terminator 2: Judgment Day (1991),Total Recall (1990),Star Wars: Episode V - The Empire Strikes Back (1980),Men in Black (1997),"Fugitive, The (1993)",Jurassic Park (1993),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode VI - Return of the Jedi (1983),Face/Off (1997)
True Lies (1994),True Lies (1994),Mission: Impossible (1996),"Rock, The (1996)","Hunt for Red October, The (1990)",Patriot Games (1992),Speed (1994),Die Hard 2 (1990),"Fugitive, The (1993)",Batman Returns (1992),Men in Black (1997)
"Exorcist, The (1973)","Exorcist, The (1973)","Shining, The (1980)",Carrie (1976),Jaws (1975),"Omen, The (1976)",Psycho (1960),Halloween (1978),Alien (1979),"Birds, The (1963)",Young Frankenstein (1974)
Back to the Future (1985),Back to the Future (1985),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Star Wars: Episode IV - A New Hope (1977),Ferris Bueller's Day Off (1986),Raiders of the Lost Ark (1981),Ghostbusters (1984),"Princess Bride, The (1987)","Matrix, The (1999)",Back to the Future Part II (1989)
"Fugitive, The (1993)","Fugitive, The (1993)","Hunt for Red October, The (1990)","Matrix, The (1999)",Speed (1994),Terminator 2: Judgment Day (1991),Die Hard (1988),Raiders of the Lost Ark (1981),"Rock, The (1996)",Total Recall (1990),Patriot Games (1992)
Face/Off (1997),Face/Off (1997),"Matrix, The (1999)","Rock, The (1996)",Men in Black (1997),Total Recall (1990),Enemy of the State (1998),"Fifth Element, The (1997)",Terminator 2: Judgment Day (1991),Speed (1994),Jurassic Park (1993)
"Patriot, The (2000)","Patriot, The (2000)","Perfect Storm, The (2000)",Gladiator (2000),U-571 (2000),"Mask of Zorro, The (1998)",Braveheart (1995),True Lies (1994),Saving Private Ryan (1998),Mission: Impossible (1996),Schindler's List (1993)
Backdraft (1991),Backdraft (1991),Die Hard 2 (1990),True Lies (1994),Die Hard: With a Vengeance (1995),Patriot Games (1992),Lethal Weapon 3 (1992),Under Siege (1992),Speed (1994),Clear and Present Danger (1994),"Rock, The (1996)"
Clueless (1995),Clueless (1995),Groundhog Day (1993),Wayne's World (1992),Four Weddings and a Funeral (1994),Forrest Gump (1994),"Full Monty, The (1997)",There's Something About Mary (1998),Jerry Maguire (1996),Grosse Pointe Blank (1997),Pleasantville (1998)
Elizabeth (1998),Elizabeth (1998),Shakespeare in Love (1998),"Talented Mr. Ripley, The (1999)",American Beauty (1999),Good Will Hunting (1997),"Sixth Sense, The (1999)",Sense and Sensibility (1995),Apollo 13 (1995),"Truman Show, The (1998)",Gladiator (2000)
Natural Born Killers (1994),Natural Born Killers (1994),"Crow, The (1994)",From Dusk Till Dawn (1996),Die Hard: With a Vengeance (1995),Die Hard 2 (1990),Blade (1998),Speed (1994),Falling Down (1993),Con Air (1997),Outbreak (1995)
Mo' Better Blues (1990),Mo' Better Blues (1990),Beloved (1998),Moll Flanders (1996),Hideous Kinky (1998),Chinese Box (1997),Ed (1996),He Got Game (1998),Holy Smoke (1999),Tie Me Up! Tie Me Down! (1990),Platoon (1986)
Donnie Brasco (1997),Donnie Brasco (1997),Carlito's Way (1993),Jackie Brown (1997),GoodFellas (1990),JFK (1991),"People vs. Larry Flynt, The (1996)",Pulp Fiction (1994),Casino (1995),Sleepers (1996),Swingers (1996)
Jerry Maguire (1996),Jerry Maguire (1996),Good Will Hunting (1997),Titanic (1997),Forrest Gump (1994),"American President, The (1995)","Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",As Good As It Gets (1997),"Silence of the Lambs, The (1991)",Apollo 13 (1995)
"Truman Show, The (1998)","Truman Show, The (1998)",Good Will Hunting (1997),Apollo 13 (1995),Edward Scissorhands (1990),Jerry Maguire (1996),Three Kings (1999),Quiz Show (1994),Pulp Fiction (1994),Schindler's List (1993),Titanic (1997)
Orlando (1993),Orlando (1993),Madame Sousatzka (1988),Little Buddha (1993),Heaven & Earth (1993),Farewell My Concubine (1993),Metroland (1997),Mrs. Parker and the Vicious Circle (1994),"Secret Adventures of Tom Thumb, The (1993)",Oxygen (1999),Bhaji on the Beach (1993)
Philadelphia (1993),Philadelphia (1993),Scent of a Woman (1992),"Firm, The (1993)","Truman Show, The (1998)",JFK (1991),"Color of Money, The (1986)",Quiz Show (1994),Fried Green Tomatoes (1991),Awakenings (1990),Good Will Hunting (1997)
Batman: Mask of the Phantasm (1993),Batman: Mask of the Phantasm (1993),Fantastic Voyage (1966),Pinocchio (1940),Super Mario Bros. (1993),"Transformers: The Movie, The (1986)","Sword in the Stone, The (1963)","Shadow, The (1994)",Aladdin and the King of Thieves (1996),Dune (1984),Robin Hood (1973)
Dead Presidents (1995),Dead Presidents (1995),True Romance (1993),I Shot Andy Warhol (1996),Bad Lieutenant (1992),Six Degrees of Separation (1993),"People vs. Larry Flynt, The (1996)",Fear and Loathing in Las Vegas (1998),Trainspotting (1996),Jackie Brown (1997),Murder at 1600 (1997)
Moll Flanders (1996),Moll Flanders (1996),Poetic Justice (1993),Nell (1994),Mo' Better Blues (1990),Jane Eyre (1996),Soul Food (1997),Paradise Road (1997),Funny Face (1957),Hideous Kinky (1998),Anna and the King (1999)
Mr. Saturday Night (1992),Mr. Saturday Night (1992),"Doors, The (1991)",Striptease (1996),Weekend at Bernie's (1989),Color of Night (1994),Indecent Proposal (1993),North (1994),Multiplicity (1996),"People vs. Larry Flynt, The (1996)","Firm, The (1993)"
